Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves,average_time_per_game_seconds,moe_average_time_per_game_seconds,abnormal_finishes_total,abnormal_finishes_percent,abnormal_too_many_wrong_actions_count,abnormal_too_many_wrong_actions_percent,abnormal_max_turns_count,abnormal_max_turns_percent,abnormal_unknown_issue_count,abnormal_unknown_issue_percent,abnormal_error_count,abnormal_error_percent
gemini-2.5-flash,42,8,30,4,19.048,9.524,71.81,16.179,3016,127,454,42.109,150.531,192.639,22.763,26.643,14,12.643,2.96,186.968,13.224,0.119,0.089,0.137,0.238,0.122,0.769,0.179,0.49,0.113,29,69.048,0.14,13,30.952,0.14,0.04666,0.01087,0.65644,0.05347,4403.921,1229.002,29,69.048,26,61.905,3,7.143,0,0.0,0,0.0
o4-mini-2025-04-16-low,74,32,1,41,43.243,55.405,149.311,10.515,11049,982,78,88.877,7.059,95.936,5.875,17.419,2.77,14.649,2.089,685.792,12.225,0.113,0.113,0.026,0.709,0.06,0.709,0.06,1.0,0.0,0,0.0,0.0,74,100.0,0.0,0.52837,0.04021,3.50866,0.05593,1806.246,432.967,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-20250514_thinking_16000,38,14,0,24,36.842,63.158,155.816,17.088,5921,1,22,0.169,3.716,3.884,1.614,13.921,2.342,11.579,3.053,936.791,38.312,0.153,0.153,0.0,0.684,0.078,0.684,0.078,1.0,0.0,0,0.0,0.0,38,100.0,0.0,2.48225,0.26043,16.19224,0.57678,3730.736,395.382,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
grok-3-mini-beta-low,59,10,1,48,16.949,81.356,182.508,9.092,10768,27,52,2.507,4.829,7.337,1.741,17.373,2.339,15.034,1.983,0.0,0.0,0.096,0.099,0.033,0.576,0.052,0.576,0.052,1.0,0.0,0,0.0,0.0,59,100.0,0.0,0.0,0.0,0.0,0.0,3371.312,207.551,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
grok-3-beta,42,1,7,34,2.381,80.952,178.333,16.885,7490,1,525,0.134,70.093,70.227,23.269,15.952,18.81,-2.858,3.325,93.686,16.389,0.046,0.119,0.113,0.429,0.063,0.486,0.046,0.91,0.083,5,11.905,0.098,37,88.095,0.098,0.54328,0.05047,3.65971,1.05727,394.46,37.774,5,11.905,4,9.524,1,2.381,0,0.0,0,0.0
o3-2025-04-16-low,42,38,1,3,90.476,7.143,56.786,12.357,2385,1,4,0.419,1.677,2.096,1.41,32.643,12.976,19.667,3.465,2093.372,189.166,0.089,0.078,0.046,0.94,0.06,0.963,0.04,0.981,0.038,1,2.381,0.046,41,97.619,0.046,4.96142,1.12063,82.95411,7.61905,3060.985,887.017,1,2.381,0,0.0,0,0.0,0,0.0,1,2.381
claude-sonnet-4-20250514,37,9,1,27,24.324,72.973,173.865,14.471,6433,1,69,0.155,10.726,10.881,4.166,11.649,6.595,5.054,2.514,129.02,2.02,0.138,0.143,0.052,0.608,0.077,0.608,0.077,1.0,0.0,0,0.0,0.0,37,100.0,0.0,0.64424,0.05492,3.69723,0.03563,2928.607,4523.992,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-3-7-sonnet-20250219_thinking_1024,41,8,2,31,19.512,75.61,175.488,13.573,7195,0,52,0.0,7.227,7.227,6.506,9.512,3.902,5.61,2.354,369.429,4.053,0.121,0.131,0.066,0.573,0.073,0.588,0.069,0.978,0.043,1,2.439,0.047,40,97.561,0.047,1.31591,0.10133,7.52735,0.0734,1571.775,136.836,1,2.439,1,2.439,0,0.0,0,0.0,0,0.0
claude-2,33,0,33,0,0.0,0.0,49.061,15.714,1619,100,367,61.767,226.683,288.45,34.471,33.939,35.061,-1.122,1.825,16.597,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0.262,0.09,32,96.97,0.058,1,3.03,0.058,0.0,0.0,0.0,0.0,0.0,0.0,32,96.97,31,93.939,1,3.03,0,0.0,0,0.0
google_gemma-3-4b-it@q8_0,67,0,67,0,0.0,0.0,10.269,1.53,688,101,198,146.802,287.791,434.593,93.528,38.731,38.657,0.074,0.424,94.167,6.616,0.0,0.0,0.0,0.0,0.0,0.5,0,0.051,0.008,67,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,100.0,66,98.507,1,1.493,0,0.0,0,0.0
