Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,white_checkmates,black_checkmates,get_board_actions_per_move,get_legal_moves_per_move,make_move_per_move
Gemma 2 27B,30,0,22,8,0.0,26.667,108.933,25.251,3268,8,52,3.831,48.078,51.91,24.919,25.467,26.333,-0.867,2.669,55.044,2.729,0.0,0.158,0.158,0.133,0.08,0.4,0.131,0.567,0.133,20,66.667,0.169,10,33.333,0.169,0.01987,0.00425,0.6666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,2,0,0.0,0.0,0.0
Gemma 2 9B (8bit),30,0,26,4,0.0,13.333,69.167,26.063,2075,45,31,163.669,71.241,234.91,135.358,32.0,34.133,-2.133,1.805,58.124,4.687,0.0,0.122,0.122,0.067,0.062,0.4,0.196,0.355,0.135,25,83.333,0.133,5,16.667,0.133,0.00144,0.00049,0.8333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1,0,0.0,0.0,0.0
Gemma 2 9B,30,0,30,0,0.0,0.0,12.0,3.272,360,70,20,449.058,64.966,514.024,173.077,38.9,38.533,0.367,0.605,21.194,1.622,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.06,0.016,30,100.0,0.0,0,0.0,0.0,0.00173,0.00042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Gemma 3 12B (iq4),30,0,30,0,0.0,0.0,30.4,9.672,912,66,24,187.873,39.339,227.212,102.302,35.133,35.8,-0.667,1.938,114.243,4.748,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.152,0.048,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Gemma 3 12B (q8),30,0,30,0,0.0,0.0,13.733,3.408,412,75,15,260.987,52.103,313.09,67.746,37.4,38.7,-1.3,0.759,142.456,10.548,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.069,0.017,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Gemma 3 27B,30,0,30,0,0.0,0.0,9.133,1.968,274,7,83,25.317,400.835,426.153,71.9,38.2,38.9,-0.7,0.841,116.314,7.279,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.046,0.01,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
GPT-3.5 Turbo (01/25),30,0,30,0,0.0,0.0,2.867,0.669,86,90,0,1285.0,0.0,1285.0,144.684,39.0,39.0,0.0,0.0,82.023,16.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.014,0.003,30,100.0,0.0,0,0.0,0.0,0.00184,0.00038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
GPT-3.5 Turbo (03/01),30,0,30,0,0.0,0.0,2.267,0.247,68,90,0,1400.0,0.0,1400.0,92.793,39.0,39.0,0.0,0.0,67.059,14.052,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.011,0.001,30,100.0,0.0,0,0.0,0.0,0.00119,0.00012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
GPT-3.5 Turbo (06/13),30,0,30,0,0.0,0.0,4.133,1.011,124,90,0,1051.667,0.0,1051.667,188.725,39.0,38.967,0.033,0.065,93.629,19.576,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.021,0.005,30,100.0,0.0,0,0.0,0.0,0.00273,0.00079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
GPT-3.5 Turbo (11/06),30,0,30,0,0.0,0.0,3.6,0.869,108,88,2,1130.278,8.889,1139.167,176.041,39.0,39.0,0.0,0.0,48.324,8.19,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.018,0.004,30,100.0,0.0,0,0.0,0.0,0.00108,0.00026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
