model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,white_rand_wins_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,std_dev_completion_tokens_black_per_move,moe_completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
deepseek-r1-distill-qwen-32b@q4_k_m|noisol_temp03,44,0,43,1,0.0,2.272727272727273,97.72727272727273,153,92,24,39,0.0,39,0.0,0,0.0,75.09469696969697,13.825757575757576,750.9469696969697,138.25757575757575,889.2045454545455,532.721960355369,214.8727026987044,466.83821440459513,3.477272727272727,1.6493640263240628,328701,2148.372549019608,825.5011176731681,243.9199929012819,1,8,310199,638900,0.0,0.4873559259696588,157.40928026179242,63.490826353669526,137.94187737090354
deepseek-r1-distill-qwen-32b@q4_k_m|noisol_temp06,34,0,34,0,0.0,0.0,100.0,114,81,18,39,0.0,39,0.0,0,0.0,88.48039215686275,18.137254901960784,884.8039215686274,181.37254901960785,1066.1764705882354,534.092225971078,366.10987812400293,452.5132826169211,3.3529411764705883,1.756069180337696,252227,2212.5175438596493,683.2438583762847,229.66369583692938,2,8,191512,443739,0.0,0.5902802244869488,179.52827973571985,123.06315916572719,152.10655994490864
deepseek-reasoner,31,7,18,6,22.58064516129032,19.35483870967742,58.06451612903226,2845,9,44,21.93548387096774,13.971245432127057,10.806451612903226,14.005759184084976,11.129032258064516,17.038444469706075,0.6105746600504369,4.682528268877056,6.105746600504369,46.825282688770564,52.93102928927493,21.376097030887802,91.35084715691808,93.1891270955697,91.7741935483871,65.01728471589657,13044247,4584.972583479789,541.9301647227277,190.77372058839293,4,200,901267,13945514,3.6034642290753296,22.88780015438446,7.524950312237051,32.15790912827924,32.80503218251817
gemini-1.5-flash-001,30,0,20,10,0.0,33.33333333333333,66.66666666666666,2524,18,36,29.266666666666666,12.119899092937553,35.666666666666664,6.0477030882540985,-6.4,-3.314049391468746,11.457671957671957,22.915343915343914,114.57671957671957,229.15343915343914,343.73015873015873,112.80007543582951,225.60015087165903,338.40022630748854,84.13333333333334,93.69750790979313,50265,19.914817749603802,12.328690894672645,4.41176537691356,4,200,1234960,1285225,3.1275403136959086,33.52922259395211,40.364988592265625,80.72997718453125,121.09496577679688
gemini-1.5-pro-preview-0409,40,0,37,3,0.0,7.5,92.5,2626,14,71,29.75,9.662908199491232,33.075,7.169692265326817,-3.325,-3.83699709622505,0.4732730371931678,7.771717780731329,4.7327303719316784,77.71717780731329,82.44990817924497,8.100323910525935,76.13134525043243,72.66287792474854,65.65,59.73383270166723,35145,13.383472962680884,1.142822376876253,0.3541643238497577,5,200,1665689,1700834,2.355334975359948,18.51170654145433,2.510316387553625,23.59334832775283,22.518459167327492
gemini-2.0-flash-001,8,0,6,2,0.0,25.0,75.0,1309,5,10,17.875,4.4860896112315904,15.25,10.793516572461451,2.625,-0.765833047060578,0.369608918128655,0.7423339331234068,3.6960891812865495,7.423339331234068,11.119428512520619,6.555683757163998,8.503531979946588,9.275715195910514,163.625,45.06483424705217,121758,93.01604278074866,15.272026289050128,10.582974284417638,61,200,742621,864379,8.290272914687428,31.228336891355582,4.542857071205063,5.892647024515763,6.427742693075761
gemini-2.0-flash-exp,30,0,28,2,0.0,6.666666666666667,93.33333333333333,2576,0,81,26.933333333333334,12.25007623715428,27.166666666666668,12.512292806051487,-0.23333333333333334,-1.2193564485896013,0.0,11.739474439973138,0.0,117.39474439973138,117.39474439973138,0.0,131.05901167444793,131.05901167444793,85.86666666666666,73.62333463175143,433155,168.15023291925465,44.933603117283866,16.07928337131627,6,200,1720039,2153194,1.8811008597213612,26.34577194255355,0.0,46.898865011506324,46.898865011506324
gemini-2.0-flash-lite-preview-02-05,29,0,29,0,0.0,0.0,100.0,1593,16,68,31.862068965517242,9.230091076516427,33.37931034482759,7.627084226170801,-1.5172413793103448,-1.935223843066968,1.8049872172533248,13.681837702483431,18.04987217253325,136.81837702483432,154.86824919736756,31.295990685051468,217.909269193828,214.6799703311787,54.93103448275862,52.406332110921454,229144,143.84431889516634,27.049470941215787,9.84500288172123,4,192,919489,1148633,2.0922114784104378,19.073958665354645,11.390578364739136,79.31088145232975,78.13553659335588
gemini-2.0-flash-thinking-exp-01-21,33,0,33,0,0.0,0.0,100.0,1341,7,1,33.21212121212121,6.989982008907353,33.72727272727273,6.969902829634388,-0.5151515151515151,-0.7686419219269546,4.9629820936639115,0.06184291898577613,49.62982093663912,0.6184291898577613,50.24825012649688,260.95849749470597,3.55260522358567,260.861371374793,40.63636363636363,25.123219068495906,23829,17.76957494407159,25.800191931755634,8.802824391986771,2,119,625305,649134,1.8415713237103288,8.571846527590305,89.03700534937455,1.2121212121212122,89.00386667429298
gemini-2.0-flash-thinking-exp-1219,30,0,30,0,0.0,0.0,100.0,70,89,1,39,0.0,39,0.0,0,0.0,138.61111111111111,0.5555555555555555,1386.111111111111,5.555555555555555,1391.6666666666667,302.83093842426683,30.429030972509228,283.7809176026505,2.3333333333333335,0.9222660747548281,50718,724.5428571428571,218.76937952835388,78.2856170519377,2,6,224271,274989,0.0,0.3300286763344439,108.36665957581356,10.888888888888888,101.54969717418454
