model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
gpt-4o-2024-11-20,71,3,6,62,4.225352112676056,87.32394366197182,13470,1,1,11.901408450704226,8.055441691494664,19.901408450704224,8.637385400649675,-8,-4.1770473664269865,0.007042253521126761,0.007042253521126761,0.07042253521126761,0.07042253521126761,0.14084507042253522,0.5933908290969266,0.5933908290969266,0.8331656437585733,189.71830985915494,32.63748200134823,681249,50.575278396436524,29,200,6229300,6910549,2.499408831512414,7.5917787417310905,0.1380281690140845,0.1380281690140845,0.19380199803298997
llama-3.1-8b@f16,140,0,140,0,0.0,0.0,978,37,60,38.9,0.36580452381058354,38.964285714285715,0.18624321862848492,-0.06428571428571428,-0.6257215007215007,5.031462585034014,5.459750566893423,50.314625850340136,54.59750566893424,104.91213151927438,173.6768607217438,126.90680801081051,219.1313105132186,6.985714285714286,4.654982190981572,143543,146.7719836400818,2,22,1899503,2043046,0.06652981156848506,0.7710988888611354,28.769612606227255,21.022142433892892,36.29915284719855
llama-3.1-8b@f16|NOFA,70,0,70,0,0.0,0.0,524,16,28,38.68571428571428,0.9712215100233783,38.871428571428574,0.44790748822990484,-0.18571428571428572,-1.6898926237161531,5.184523809523809,4.531746031746032,51.845238095238095,45.317460317460316,97.16269841269842,137.63010919734083,111.2997019245479,172.35924431299208,7.485714285714286,6.330837472687959,72855,139.03625954198472,2,34,964305,1037160,0.233560469158681,1.4830924214069676,32.24189102762177,26.073603238319542,40.37770517768433
llama-3.1-8b@f32,70,0,70,0,0.0,0.0,1699,43,115,37.75714285714286,3.132048985705888,37.97142857142857,3.4765109469681286,-0.21428571428571427,-0.9104630282980568,4.1166867796069475,10.102185595131195,41.166867796069475,101.02185595131195,142.18872374738143,71.59048194342037,101.68455213474607,121.06472840937879,24.271428571428572,18.19214787501515,168400,99.11712772218952,6,130,1719726,1888126,0.6564418801607539,4.26178001867016,16.771130466263415,23.821112024405426,28.361205287332822
llama-3.1-8b@iq4_xs,140,0,140,0,0.0,0.0,2612,87,230,38.042857142857144,2.145336010547078,38.44285714285714,1.3209514151987267,-0.4,-1.0781675520017,5.384125547380056,13.891639049829113,53.841255473800565,138.91639049829115,192.7576459720917,90.8696203924584,143.48165537845233,157.00396676314472,18.65714285714286,14.413109255005015,323400,123.81316998468607,4,82,3278255,3601655,0.36949804567195704,2.387534919703952,15.052573874849273,23.767769777643586,26.007743821748765
llama-3.1-8b@iq4_xs|NOFA,70,0,70,0,0.0,0.0,1152,42,124,37.9,2.531826401540246,38.42857142857143,1.8460410328115724,-0.5285714285714286,-1.357084905487161,6.199071396439817,14.66432205013032,61.990713964398175,146.6432205013032,208.63393446570137,106.36571949334554,120.35376890714049,168.49100765644917,16.457142857142856,11.652810464365517,140629,122.07378472222223,4,60,1416449,1557078,0.5165255160160552,2.72984339944753,24.91774479421318,28.19465249645076,39.47151346224741
llama-3.1-8b@iq4_xs|many,989,0,989,0,0.0,0.0,17952,651,1662,38.05156723963599,2.2447351968610656,38.343781597573305,1.9380888831665384,-0.29221435793731043,-1.128071500971659,5.926637681070643,12.987592108591853,59.266376810706426,129.87592108591852,189.14229789662497,104.39493260338561,126.41753270118602,161.0968860916951,18.151668351870576,11.95154055369003,2140380,119.2279411764706,2,92,21820757,23961137,0.13857718508999264,0.7448722842214867,6.5063488309399045,7.878893597503927,10.040262590837353
llama-3.1-8b@iq4_xs|t001,70,0,70,0,0.0,0.0,1324,52,102,37.98571428571429,2.170239131570242,38.2,2.3068894924626933,-0.21428571428571427,-0.8879982164143655,5.954782612345637,10.682352316623415,59.547826123456375,106.82352316623417,166.37134928969053,89.61970161226274,115.78349225043733,137.2545615131043,18.914285714285715,11.105218589347274,167377,126.41767371601209,6,66,1705043,1872420,0.5553648754895616,2.6015618942964,20.99474214008967,27.123997515568472,32.15391342169349
llama-3.1-8b@q4_k_m,88,0,88,0,0.0,0.0,1516,76,115,38.13636363636363,2.378939289286459,38.60227272727273,1.1400723180053673,-0.4659090909090909,-1.445371266348971,7.368269152246364,9.782820181925791,73.68269152246364,97.82820181925791,171.51089334172156,99.19236282380564,102.35977760377264,139.23487694094104,17.227272727272727,14.012906425844623,151788,100.12401055408971,2,94,1695133,1846921,0.3943340730478716,2.9278104544499257,20.724925154820163,21.38671435290279,29.091275995384013
llama-3.1-8b@q4_k_m_2,52,0,52,0,0.0,0.0,776,48,57,38.57692307692308,1.5126415519068135,38.59615384615385,1.4178085186212956,-0.019230769230769232,-0.004347464970529906,9.421933286871367,9.411643503555268,94.21933286871368,94.11643503555268,188.33576790426636,156.60086255277636,100.1352081933886,179.4696025266608,14.923076923076923,9.591348540090504,73279,94.43170103092784,2,50,930452,1003731,0.5232125079357127,2.6069582294538565,42.564599301661936,27.21705962062415,48.78039363162129
llama-3.1-8b@q4_k_m|NOFA,70,0,70,0,0.0,0.0,1500,70,99,37.74285714285714,2.5003519421010574,38.31428571428572,1.7573271629847345,-0.5714285714285714,-1.965852948207084,7.077996400091585,9.91323985207308,70.77996400091585,99.1323985207308,169.91236252164666,79.52460289113917,101.25825448449346,133.8789259357186,21.428571428571427,15.887805394340882,140256,93.504,6,82,1478904,1619160,0.4894054363811464,3.7219536711832917,18.629815782203448,23.72124548746133,31.363120803204918
